title,genres,is_comedy,is_european,is_scifi,is_action,is_crime,is_drama,is_animation,is_family,is_fantasy,is_music,is_romance,is_reality,is_western,is_thriller,is_horror,is_sport,is_documentation,is_war,is_history
Five Came Back: The Reference Films,['documentation'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Taxi Driver,"['drama', 'crime']",False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Deliverance,"['drama', 'action', 'thriller', 'european']",False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Monty Python and the Holy Grail,"['fantasy', 'action', 'comedy']",True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
The Dirty Dozen,"['war', 'action']",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Monty Python's Flying Circus,"['comedy', 'european']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Life of Brian,['comedy'],True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dirty Harry,"['thriller', 'action', 'crime']",False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Bonnie and Clyde,"['crime', 'drama', 'action']",False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Blue Lagoon,"['romance', 'action', 'drama']",False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
The Guns of Navarone,"['action', 'drama', 'war']",False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
The Professionals,"['western', 'action', 'european']",False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Richard Pryor: Live in Concert,"['comedy', 'documentation']",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
White Christmas,"['romance', 'comedy']",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Cairo Station,"['drama', 'crime', 'comedy']",True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Hitler: A Career,"['history', 'documentation', 'european']",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
FTA,"['war', 'documentation', 'music', 'comedy']",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
Alexandria… Why?,['drama'],False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Land,['drama'],False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Dostana,"['drama', 'comedy', 'crime', 'romance', 'action']",True,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Saladin the Victorious,"['action', 'drama', 'war', 'history', 'romance']",False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True
Alibaba Aur 40 Chor,"['drama', 'romance', 'action', 'fantasy', 'family']",False,False,False,True,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False
The Blazing Sun,"['crime', 'romance', 'drama']",False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Dark Waters,"['action', 'drama', 'romance', 'thriller']",False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
We Are All for the Fatherland,['documentation'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Singapore,"['drama', 'thriller', 'crime']",False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Monty Python's Fliegender Zirkus,['comedy'],True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Beirut, Oh Beirut",['drama'],False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Return of the Prodigal Son,"['music', 'drama', 'crime']",False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False
Khoon Khoon,"['crime', 'thriller']",False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Manoranjan,"['romance', 'drama', 'comedy']",True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Ujala,"['romance', 'crime', 'drama']",False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Whispers,['documentation'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Chadi Jawani Budhe Nu,['romance'],False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
